// Compost colors for industrialupgrade. You may add your own colors, change existing ones, or remove colors that aren't needed.
additionmodule/charger, #ebeba8
crafting_elements/crafting_290_element, #fad68e
crafting_elements/crafting_291_element, #ffffff
crafting_elements/crafting_292_element, #dd976b
crafting_elements/crafting_293_element, #7d6962
crafting_elements/crafting_294_element, #dd731c
crafting_elements/crafting_295_element, #7c9b30
crafting_elements/crafting_296_element, #707986
crafting_elements/crafting_297_element, #434343
crafting_elements/crafting_298_element, #a4c3be
crafting_elements/crafting_299_element, #a4cac2
crafting_elements/crafting_29_element, #c9c0c9
crafting_elements/crafting_2_element, #f7c961
crafting_elements/crafting_300_element, #8cc3b8
crafting_elements/crafting_301_element, #c3bb2d
crafting_elements/crafting_302_element, #e4dc36
crafting_elements/crafting_303_element, #e7de37
crafting_elements/crafting_304_element, #ffff46
crafting_elements/crafting_305_element, #64f2e7
crafting_elements/crafting_306_element, #cdcdcd
crafting_elements/crafting_307_element, #f0eeee
crafting_elements/crafting_308_element, #f2f1f1
crafting_elements/crafting_309_element, #ffffff
crafting_elements/crafting_30_element, #f0f4fb
crafting_elements/crafting_310_element, #626262
crafting_elements/crafting_311_element, #2a6897
crafting_elements/crafting_312_element, #296998
crafting_elements/crafting_313_element, #3c54bf
crafting_elements/crafting_314_element, #265e8a
crafting_elements/crafting_315_element, #48d4cf
crafting_elements/crafting_316_element, #46e0da
crafting_elements/crafting_317_element, #4be3dc
crafting_elements/crafting_318_element, #57f0e7
crafting_elements/crafting_319_element, #727272
crafting_elements/crafting_31_element, #e1e4b8
crafting_elements/crafting_320_element, #555555
crafting_elements/crafting_321_element, #a5ab83
crafting_elements/crafting_322_element, #899491
crafting_elements/crafting_323_element, #dadce0
crafting_elements/crafting_324_element, #869da1
crafting_elements/crafting_325_element, #c89b86
crafting_elements/crafting_326_element, #96a2a5
crafting_elements/crafting_327_element, #989d90
crafting_elements/crafting_328_element, #d9d9d9
crafting_elements/crafting_329_element, #c63630
crafting_elements/crafting_32_element, #fcfcfc
crafting_elements/crafting_330_element, #d93a34
crafting_elements/crafting_331_element, #dc3c36
crafting_elements/crafting_332_element, #f14840
crafting_elements/crafting_333_element, #738984
crafting_elements/crafting_334_element, #a5c0bb
crafting_elements/crafting_335_element, #78938d
crafting_elements/crafting_336_element, #518ebe
crafting_elements/crafting_337_element, #dcdcdc
crafting_elements/crafting_338_element, #cfcfcf
crafting_elements/crafting_339_element, #fff75f
crafting_elements/crafting_33_element, #b4f2c5
crafting_elements/crafting_340_element, #707070
crafting_elements/crafting_341_element, #44da69
crafting_elements/crafting_342_element, #bebfaf
crafting_elements/crafting_343_element, #ffffff
crafting_elements/crafting_344_element, #736f6f
crafting_elements/crafting_345_element, #2db2a5
crafting_elements/crafting_346_element, #2fb8ab
crafting_elements/crafting_347_element, #2cbbac
crafting_elements/crafting_348_element, #33c3b2
crafting_elements/crafting_349_element, #876416
crafting_elements/crafting_34_element, #e7edea
crafting_elements/crafting_350_element, #936c1b
crafting_elements/crafting_351_element, #966f19
crafting_elements/crafting_352_element, #783c97
crafting_elements/crafting_353_element, #a77d1f
crafting_elements/crafting_354_element, #894654
crafting_elements/crafting_355_element, #edb44e
crafting_elements/crafting_356_element, #fcd3ae
crafting_elements/crafting_357_element, #5e5e5e
crafting_elements/crafting_358_element, #4b32b8
crafting_elements/crafting_359_element, #5437c8
crafting_elements/crafting_35_element, #58d651
crafting_elements/crafting_360_element, #5537ca
crafting_elements/crafting_361_element, #6140dc
crafting_elements/crafting_362_element, #97b4bc
crafting_elements/crafting_363_element, #696666
crafting_elements/crafting_364_element, #686868
crafting_elements/crafting_365_element, #bcbcbc
crafting_elements/crafting_366_element, #4770b2
crafting_elements/crafting_367_element, #9e9e9e
crafting_elements/crafting_368_element, #626262
crafting_elements/crafting_369_element, #bebebe
crafting_elements/crafting_36_element, #f7f2c5
crafting_elements/crafting_370_element, #a2a2a2
crafting_elements/crafting_371_element, #87abc2
crafting_elements/crafting_372_element, #988d80
crafting_elements/crafting_373_element, #5e9df4
crafting_elements/crafting_374_element, #4082cf
crafting_elements/crafting_375_element, #666e78
crafting_elements/crafting_376_element, #656f78
crafting_elements/crafting_377_element, #b1bbc3
crafting_elements/crafting_378_element, #4876bb
crafting_elements/crafting_379_element, #a5abbe
crafting_elements/crafting_37_element, #ffffc8
crafting_elements/crafting_380_element, #436fcf
crafting_elements/crafting_381_element, #9e2fb8
crafting_elements/crafting_382_element, #b539cd
crafting_elements/crafting_383_element, #b839d0
crafting_elements/crafting_384_element, #cc44e6
crafting_elements/crafting_385_element, #949391
crafting_elements/crafting_386_element, #515151
crafting_elements/crafting_387_element, #bf844e
crafting_elements/crafting_388_element, #868686
crafting_elements/crafting_389_element, #797979
crafting_elements/crafting_38_element, #f0d6a4
crafting_elements/crafting_390_element, #787878
crafting_elements/crafting_391_element, #6c6c6c
crafting_elements/crafting_392_element, #766476
crafting_elements/crafting_393_element, #756576
crafting_elements/crafting_394_element, #c2b1c2
crafting_elements/crafting_395_element, #337aae
crafting_elements/crafting_396_element, #bf39da
crafting_elements/crafting_397_element, #fc65c2
crafting_elements/crafting_398_element, #c2767f
crafting_elements/crafting_399_element, #30469d
crafting_elements/crafting_39_element, #fffee6
crafting_elements/crafting_3_element, #ffde51
crafting_elements/crafting_400_element, #2f469e
crafting_elements/crafting_401_element, #2c4394
crafting_elements/crafting_402_element, #dd65ed
crafting_elements/crafting_403_element, #5c78cc
crafting_elements/crafting_404_element, #c0a0bb
crafting_elements/crafting_405_element, #5a6eb8
crafting_elements/crafting_406_element, #c6a428
crafting_elements/crafting_407_element, #e1be39
crafting_elements/crafting_408_element, #e1c03a
crafting_elements/crafting_409_element, #edcc41
crafting_elements/crafting_40_element, #829670
crafting_elements/crafting_410_element, #5e5e5e
crafting_elements/crafting_411_element, #b6c5cf
crafting_elements/crafting_412_element, #b6b6b6
crafting_elements/crafting_413_element, #b1b1b1
crafting_elements/crafting_414_element, #afafaf
crafting_elements/crafting_415_element, #e6b146
crafting_elements/crafting_416_element, #c58636
crafting_elements/crafting_417_element, #807a65
crafting_elements/crafting_418_element, #7f7a65
crafting_elements/crafting_419_element, #cac6b1
crafting_elements/crafting_41_element, #5e5e5e
crafting_elements/crafting_420_element, #6483a7
crafting_elements/crafting_421_element, #d28e39
crafting_elements/crafting_422_element, #d4933c
crafting_elements/crafting_423_element, #e8a244
crafting_elements/crafting_424_element, #ffc546
crafting_elements/crafting_425_element, #c89657
crafting_elements/crafting_426_element, #ffde62
crafting_elements/crafting_427_element, #6194b8
crafting_elements/crafting_428_element, #c6bea8
crafting_elements/crafting_429_element, #3cbb37
crafting_elements/crafting_42_element, #bbaca8
crafting_elements/crafting_430_element, #43d73e
crafting_elements/crafting_431_element, #47da41
crafting_elements/crafting_432_element, #54ee4d
crafting_elements/crafting_433_element, #cacaca
crafting_elements/crafting_434_element, #ffffff
crafting_elements/crafting_435_element, #488cd0
crafting_elements/crafting_436_element, #c0bbbc
crafting_elements/crafting_437_element, #abb4b5
crafting_elements/crafting_438_element, #a2a2a2
crafting_elements/crafting_439_element, #b8e7e1
crafting_elements/crafting_43_element, #dcdcdc
crafting_elements/crafting_440_element, #dee0d7
crafting_elements/crafting_441_element, #f5fce4
crafting_elements/crafting_442_element, #f8fae1
crafting_elements/crafting_443_element, #758773
crafting_elements/crafting_444_element, #82f840
crafting_elements/crafting_445_element, #c5722f
crafting_elements/crafting_446_element, #4b82e3
crafting_elements/crafting_447_element, #f8f7f7
crafting_elements/crafting_448_element, #545454
crafting_elements/crafting_449_element, #ffffff
crafting_elements/crafting_44_element, #ffffff
crafting_elements/crafting_450_element, #ffffff
crafting_elements/crafting_451_element, #737373
crafting_elements/crafting_452_element, #fefefe
crafting_elements/crafting_453_element, #ffffb8
crafting_elements/crafting_454_element, #ffffff
crafting_elements/crafting_455_element, #fcddb9
crafting_elements/crafting_456_element, #ffffff
crafting_elements/crafting_457_element, #70707
crafting_elements/crafting_458_element, #c9c9c9
crafting_elements/crafting_459_element, #e6fff2
crafting_elements/crafting_45_element, #fff2ca
crafting_elements/crafting_460_element, #e8e8f5
crafting_elements/crafting_461_element, #ffffff
crafting_elements/crafting_462_element, #ffffff
crafting_elements/crafting_463_element, #e4e4ee
crafting_elements/crafting_464_element, #c0c0c
crafting_elements/crafting_465_element, #111111
crafting_elements/crafting_466_element, #3ca4e6
crafting_elements/crafting_467_element, #9372dd
crafting_elements/crafting_468_element, #c2d364
crafting_elements/crafting_469_element, #a7e3cd
crafting_elements/crafting_46_element, #919191
crafting_elements/crafting_470_element, #c3e6f7
crafting_elements/crafting_471_element, #ffd69d
crafting_elements/crafting_472_element, #7f94af
crafting_elements/crafting_473_element, #ca69a7
crafting_elements/crafting_474_element, #f5be3e
crafting_elements/crafting_475_element, #d9c897
crafting_elements/crafting_476_element, #ffff84
crafting_elements/crafting_477_element, #525151
crafting_elements/crafting_478_element, #c8b80e
crafting_elements/crafting_479_element, #262f48
crafting_elements/crafting_47_element, #fafafa
crafting_elements/crafting_480_element, #46767d
crafting_elements/crafting_481_element, #ffffff
crafting_elements/crafting_482_element, #e1cfa7
crafting_elements/crafting_483_element, #ffffff
crafting_elements/crafting_484_element, #fff5cf
crafting_elements/crafting_485_element, #657076
crafting_elements/crafting_486_element, #765f5c
crafting_elements/crafting_487_element, #ca640b
crafting_elements/crafting_488_element, #c96811
crafting_elements/crafting_489_element, #655062
crafting_elements/crafting_48_element, #caddff
crafting_elements/crafting_490_element, #76656f
crafting_elements/crafting_491_element, #76765c
crafting_elements/crafting_492_element, #6e6e6e
crafting_elements/crafting_493_element, #5b5b5b
crafting_elements/crafting_494_element, #5f5f5f
crafting_elements/crafting_495_element, #707070
crafting_elements/crafting_496_element, #505057
crafting_elements/crafting_497_element, #4e4e55
crafting_elements/crafting_498_element, #61523c
crafting_elements/crafting_499_element, #30444b
crafting_elements/crafting_49_element, #fcfcfc
crafting_elements/crafting_4_element, #d7d097
crafting_elements/crafting_501_element, #708696
crafting_elements/crafting_502_element, #b2b1be
crafting_elements/crafting_503_element, #6e7584
crafting_elements/crafting_504_element, #708798
crafting_elements/crafting_505_element, #cdcc9d
crafting_elements/crafting_508_element, #989196
crafting_elements/crafting_509_element, #555a78
crafting_elements/crafting_50_element, #f8cdff
crafting_elements/crafting_510_element, #8296dd
crafting_elements/crafting_511_element, #7286cf
crafting_elements/crafting_512_element, #9eaee8
crafting_elements/crafting_513_element, #8296dd
crafting_elements/crafting_514_element, #7286cf
crafting_elements/crafting_515_element, #9eaee8
crafting_elements/crafting_516_element, #f88789
crafting_elements/crafting_517_element, #64413e
crafting_elements/crafting_518_element, #6b1c19
crafting_elements/crafting_519_element, #661814
crafting_elements/crafting_51_element, #fefefe
crafting_elements/crafting_520_element, #58201e
crafting_elements/crafting_521_element, #6b1c19
crafting_elements/crafting_522_element, #661814
crafting_elements/crafting_523_element, #fbe4e3
crafting_elements/crafting_524_element, #cf2f2d
crafting_elements/crafting_525_element, #626858
crafting_elements/crafting_526_element, #767862
crafting_elements/crafting_527_element, #73735c
crafting_elements/crafting_528_element, #a17d7c
crafting_elements/crafting_529_element, #767862
crafting_elements/crafting_52_element, #f8f8f8
crafting_elements/crafting_530_element, #73735c
crafting_elements/crafting_531_element, #a17d7c
crafting_elements/crafting_532_element, #ff4a8d
crafting_elements/crafting_533_element, #fff8b8
crafting_elements/crafting_534_element, #aafff8
crafting_elements/crafting_535_element, #eaf4e6
crafting_elements/crafting_536_element, #939786
crafting_elements/crafting_537_element, #7c837a
crafting_elements/crafting_538_element, #61da32
crafting_elements/crafting_539_element, #f4eadd
crafting_elements/crafting_53_element, #ebe4e0
crafting_elements/crafting_540_element, #968d7d
crafting_elements/crafting_541_element, #ffca6e
crafting_elements/crafting_542_element, #5fda37
crafting_elements/crafting_543_element, #ffffde
crafting_elements/crafting_544_element, #f1ede6
crafting_elements/crafting_545_element, #828079
crafting_elements/crafting_546_element, #837a7a
crafting_elements/crafting_547_element, #f2f2dd
crafting_elements/crafting_548_element, #97917d
crafting_elements/crafting_549_element, #d6b665
crafting_elements/crafting_54_element, #d2e0ca
crafting_elements/crafting_550_element, #848273
crafting_elements/crafting_551_element, #fff865
crafting_elements/crafting_552_element, #5ae137
crafting_elements/crafting_553_element, #867973
crafting_elements/crafting_554_element, #9d8e89
crafting_elements/crafting_555_element, #909090
crafting_elements/crafting_556_element, #aef7d4
crafting_elements/crafting_557_element, #61e032
crafting_elements/crafting_558_element, #abd7be
crafting_elements/crafting_559_element, #94ebe3
crafting_elements/crafting_55_element, #fbfbe6
crafting_elements/crafting_560_element, #e4d49b
crafting_elements/crafting_561_element, #899094
crafting_elements/crafting_562_element, #f0af6f
crafting_elements/crafting_563_element, #616161
crafting_elements/crafting_564_element, #c39875
crafting_elements/crafting_565_element, #e3daee
crafting_elements/crafting_566_element, #bbb6d4
crafting_elements/crafting_567_element, #cc9b46
crafting_elements/crafting_568_element, #878787
crafting_elements/crafting_569_element, #e3d3d3
crafting_elements/crafting_56_element, #f2f8e6
crafting_elements/crafting_570_element, #b1b1b1
crafting_elements/crafting_571_element, #fafafa
crafting_elements/crafting_572_element, #ffffff
crafting_elements/crafting_573_element, #ebbc5a
crafting_elements/crafting_574_element, #d9d9d9
crafting_elements/crafting_575_element, #ff7db4
crafting_elements/crafting_576_element, #d25828
crafting_elements/crafting_577_element, #43e0d0
crafting_elements/crafting_578_element, #ededed
crafting_elements/crafting_579_element, #225b91
crafting_elements/crafting_57_element, #fbcac8
crafting_elements/crafting_580_element, #f78a29
crafting_elements/crafting_581_element, #894714
crafting_elements/crafting_582_element, #ffbb43
crafting_elements/crafting_583_element, #a8b1b1
crafting_elements/crafting_584_element, #e47cff
crafting_elements/crafting_585_element, #b2a480
crafting_elements/crafting_586_element, #d3d9f1
crafting_elements/crafting_587_element, #eae8a0
crafting_elements/crafting_588_element, #91c5c8
crafting_elements/crafting_589_element, #9b936e
crafting_elements/crafting_58_element, #e4cae0
crafting_elements/crafting_590_element, #8ea2f7
crafting_elements/crafting_591_element, #5b82e7
crafting_elements/crafting_592_element, #8ac0ca
crafting_elements/crafting_593_element, #dedcdc
crafting_elements/crafting_594_element, #91beca
crafting_elements/crafting_595_element, #ccdde4
crafting_elements/crafting_596_element, #fd4b5
crafting_elements/crafting_597_element, #e6bf6c
crafting_elements/crafting_598_element, #94c6c0
crafting_elements/crafting_599_element, #787d37
crafting_elements/crafting_59_element, #c6cad2
crafting_elements/crafting_5_element, #ffd74a
crafting_elements/crafting_600_element, #ffda2f
crafting_elements/crafting_601_element, #ffe02f
crafting_elements/crafting_602_element, #73c25c
crafting_elements/crafting_603_element, #69d98d
crafting_elements/crafting_604_element, #86c655
crafting_elements/crafting_605_element, #82a041
crafting_elements/crafting_606_element, #b1ca32
crafting_elements/crafting_607_element, #48dc48
crafting_elements/crafting_608_element, #70bf68
crafting_elements/crafting_609_element, #7ccd65
crafting_elements/crafting_60_element, #fff5d4
crafting_elements/crafting_610_element, #84dc6f
crafting_elements/crafting_611_element, #5cd94b
crafting_elements/crafting_612_element, #82d358
crafting_elements/crafting_613_element, #9aea55
crafting_elements/crafting_614_element, #d4fcff
crafting_elements/crafting_615_element, #6bc257
crafting_elements/crafting_616_element, #6fc958
crafting_elements/crafting_617_element, #68bf55
crafting_elements/crafting_618_element, #87b6dd
crafting_elements/crafting_619_element, #de83d3
crafting_elements/crafting_61_element, #e6d7cc
crafting_elements/crafting_620_element, #82f45f
crafting_elements/crafting_621_element, #69ca4b
crafting_elements/crafting_622_element, #65e05a
crafting_elements/crafting_623_element, #87fb65
crafting_elements/crafting_624_element, #79e47f
crafting_elements/crafting_625_element, #7fed72
crafting_elements/crafting_626_element, #69ca8e
crafting_elements/crafting_627_element, #b4dd48
crafting_elements/crafting_628_element, #9ed289
crafting_elements/crafting_629_element, #98d44e
crafting_elements/crafting_62_element, #d6d9ff
crafting_elements/crafting_630_element, #b6cd40
crafting_elements/crafting_631_element, #7acf69
crafting_elements/crafting_632_element, #66e46f
crafting_elements/crafting_633_element, #6bde82
crafting_elements/crafting_634_element, #7cb85f
crafting_elements/crafting_635_element, #78c676
crafting_elements/crafting_636_element, #82b689
crafting_elements/crafting_637_element, #ea1e37
crafting_elements/crafting_638_element, #555cff
crafting_elements/crafting_639_element, #52ffff
crafting_elements/crafting_63_element, #c9cfd4
crafting_elements/crafting_640_element, #61f52f
crafting_elements/crafting_641_element, #5b7576
crafting_elements/crafting_642_element, #73b8dc
crafting_elements/crafting_643_element, #af51ff
crafting_elements/crafting_644_element, #464646
crafting_elements/crafting_645_element, #6cf0e1
crafting_elements/crafting_646_element, #7d9eb1
crafting_elements/crafting_647_element, #5f7578
crafting_elements/crafting_648_element, #ffd941
crafting_elements/crafting_649_element, #ff66f5
crafting_elements/crafting_64_element, #ddffd2
crafting_elements/crafting_650_element, #e0a7a1
crafting_elements/crafting_651_element, #e8b6a5
crafting_elements/crafting_652_element, #fe7fda
crafting_elements/crafting_653_element, #ead98e
crafting_elements/crafting_654_element, #ff987a
crafting_elements/crafting_655_element, #c3c291
crafting_elements/crafting_656_element, #fcfcff
crafting_elements/crafting_657_element, #a2d479
crafting_elements/crafting_658_element, #ffffeb
crafting_elements/crafting_659_element, #ffe7ac
crafting_elements/crafting_65_element, #d2e7e7
crafting_elements/crafting_660_element, #eddad3
crafting_elements/crafting_661_element, #feffff
crafting_elements/crafting_662_element, #ffffed
crafting_elements/crafting_663_element, #d4e6c2
crafting_elements/crafting_664_element, #d9d6d2
crafting_elements/crafting_665_element, #fcf7ee
crafting_elements/crafting_666_element, #ffffff
crafting_elements/crafting_667_element, #fff4bf
crafting_elements/crafting_668_element, #c5ddff
crafting_elements/crafting_669_element, #fafafa
crafting_elements/crafting_66_element, #d0e3ff
crafting_elements/crafting_670_element, #fffcfa
crafting_elements/crafting_671_element, #bce3c5
crafting_elements/crafting_672_element, #cad2d6
crafting_elements/crafting_673_element, #eae6e3
crafting_elements/crafting_674_element, #b2c69a
crafting_elements/crafting_675_element, #ffeeed
crafting_elements/crafting_676_element, #fff5ff
crafting_elements/crafting_677_element, #cdafcc
crafting_elements/crafting_678_element, #ebebeb
crafting_elements/crafting_679_element, #b4c5e1
crafting_elements/crafting_67_element, #ffe1d0
crafting_elements/crafting_680_element, #98a2bc
crafting_elements/crafting_681_element, #c5cfc3
crafting_elements/crafting_682_element, #f4ffff
crafting_elements/crafting_683_element, #cfb67a
crafting_elements/crafting_684_element, #d9d7d7
crafting_elements/crafting_685_element, #ffffff
crafting_elements/crafting_686_element, #e8e7e3
crafting_elements/crafting_687_element, #a0a0a0
crafting_elements/crafting_688_element, #a5c2d0
crafting_elements/crafting_689_element, #7d6c5e
crafting_elements/crafting_68_element, #c3d9fc
crafting_elements/crafting_690_element, #d2c99b
crafting_elements/crafting_691_element, #666666
crafting_elements/crafting_692_element, #97c38e
crafting_elements/crafting_693_element, #55a7a4
crafting_elements/crafting_694_element, #ace1c3
crafting_elements/crafting_695_element, #8ad3bc
crafting_elements/crafting_696_element, #d7c8ff
crafting_elements/crafting_697_element, #d3e6ff
crafting_elements/crafting_698_element, #4d8a7d
crafting_elements/crafting_699_element, #8ad4d6
crafting_elements/crafting_69_element, #d3d3d3
crafting_elements/crafting_6_element, #f2de90
crafting_elements/crafting_700_element, #614d51
crafting_elements/crafting_701_element, #94b9dc
crafting_elements/crafting_702_element, #70cdc8
crafting_elements/crafting_703_element, #8d8366
crafting_elements/crafting_704_element, #bcd2fa
crafting_elements/crafting_705_element, #98be70
crafting_elements/crafting_706_element, #848ea5
crafting_elements/crafting_707_element, #ffee6f
crafting_elements/crafting_708_element, #e7c065
crafting_elements/crafting_709_element, #575757
crafting_elements/crafting_70_element, #d66151
crafting_elements/crafting_710_element, #788989
crafting_elements/crafting_711_element, #ffa05c
crafting_elements/crafting_712_element, #399dd0
crafting_elements/crafting_713_element, #c8c5c3
crafting_elements/crafting_714_element, #b893ff
crafting_elements/crafting_715_element, #6b5c0e
crafting_elements/crafting_716_element, #b193c6
crafting_elements/crafting_717_element, #868791
crafting_elements/crafting_718_element, #abe058
crafting_elements/crafting_719_element, #784c0
crafting_elements/crafting_71_element, #e8e8e8
crafting_elements/crafting_720_element, #655a22
crafting_elements/crafting_721_element, #e339f5
crafting_elements/crafting_722_element, #3cb9e4
crafting_elements/crafting_723_element, #377a44
crafting_elements/crafting_724_element, #afbbd9
crafting_elements/crafting_725_element, #8c96aa
crafting_elements/crafting_726_element, #4e4e52
crafting_elements/crafting_727_element, #70788a
crafting_elements/crafting_728_element, #7ca42d
crafting_elements/crafting_729_element, #ab86aa
crafting_elements/crafting_72_element, #69d7ed
crafting_elements/crafting_730_element, #b29868
crafting_elements/crafting_731_element, #a87261
crafting_elements/crafting_732_element, #9eaaaa
crafting_elements/crafting_733_element, #519193
crafting_elements/crafting_734_element, #9ae6a0
crafting_elements/crafting_735_element, #82326f
crafting_elements/crafting_736_element, #f56e8e
crafting_elements/crafting_737_element, #c8939d
crafting_elements/crafting_738_element, #9b9b44
crafting_elements/crafting_739_element, #4a8987
crafting_elements/crafting_73_element, #c0e0be
crafting_elements/crafting_740_element, #d9aae3
crafting_elements/crafting_741_element, #7d5f69
crafting_elements/crafting_742_element, #9ed2dc
crafting_elements/crafting_743_element, #b29d97
crafting_elements/crafting_744_element, #aeaeae
crafting_elements/crafting_745_element, #939b9b
crafting_elements/crafting_746_element, #93b2b8
crafting_elements/crafting_747_element, #a9a78
crafting_elements/crafting_748_element, #46b4ff
crafting_elements/crafting_749_element, #7f94d7
crafting_elements/crafting_74_element, #eef1c2
crafting_elements/crafting_750_element, #6fc8ff
crafting_elements/crafting_751_element, #52a1cf
crafting_elements/crafting_752_element, #b97f65
crafting_elements/crafting_753_element, #a0a851
crafting_elements/crafting_754_element, #e146ff
crafting_elements/crafting_755_element, #f473d0
crafting_elements/crafting_756_element, #ff6ffa
crafting_elements/crafting_757_element, #bb61d6
crafting_elements/crafting_758_element, #86acb4
crafting_elements/crafting_759_element, #7da29e
crafting_elements/crafting_75_element, #b6edf8
crafting_elements/crafting_760_element, #f49b78
crafting_elements/crafting_761_element, #d2ea82
crafting_elements/crafting_762_element, #d0dd76
crafting_elements/crafting_763_element, #c5c05b
crafting_elements/crafting_764_element, #fffa6f
crafting_elements/crafting_765_element, #9aee87
crafting_elements/crafting_766_element, #58828d
crafting_elements/crafting_767_element, #827296
crafting_elements/crafting_768_element, #96b6b5
crafting_elements/crafting_769_element, #d7d7d7
crafting_elements/crafting_76_element, #bbbbbb
crafting_elements/crafting_770_element, #c6a4bc
crafting_elements/crafting_771_element, #b59aae
crafting_elements/crafting_772_element, #895130
crafting_elements/crafting_773_element, #97865c
crafting_elements/crafting_77_element, #5e91f0
crafting_elements/crafting_78_element, #5f93f2
crafting_elements/crafting_79_element, #ffeba7
crafting_elements/crafting_7_element, #f8cf4a
crafting_elements/crafting_80_element, #5194ff
crafting_elements/crafting_81_element, #4d9eff
crafting_elements/crafting_82_element, #abaab2
crafting_elements/crafting_83_element, #549eff
crafting_elements/crafting_84_element, #73a0cd
crafting_elements/crafting_85_element, #6fb1ff
crafting_elements/crafting_86_element, #4ab8e1
crafting_elements/crafting_87_element, #6ea4ff
crafting_elements/crafting_88_element, #73a2de
crafting_elements/crafting_89_element, #8694b8
crafting_elements/crafting_8_element, #fff270
crafting_elements/crafting_90_element, #b5f0ff
crafting_elements/crafting_91_element, #78a8ff
crafting_elements/crafting_92_element, #405ca0
crafting_elements/crafting_93_element, #5e76f7
crafting_elements/crafting_94_element, #6886e0
crafting_elements/crafting_95_element, #5bb8ea
crafting_elements/crafting_96_element, #4184e1
crafting_elements/crafting_97_element, #ededed
crafting_elements/crafting_98_element, #d2f7d0
crafting_elements/crafting_99_element, #d2f7d0
crafting_elements/crafting_9_element, #d3e85e
crop_genome/crop_genomeair_i, #f2f0ed
crop_genome/crop_genomeair_ii, #f8fff7
crop_genome/crop_genomeair_iii, #fafffa
crop_genome/crop_genomebeecombine, #f4c394
crop_genome/crop_genomebiome, #ffffff
crop_genome/crop_genomebiome_i, #ffd789
crop_genome/crop_genomebiome_ii, #b57a80
crop_genome/crop_genomebiome_iii, #cada94
crop_genome/crop_genomebiome_iv, #dceeff
crop_genome/crop_genomechance_i, #faccb4
crop_genome/crop_genomechance_ii, #ffc697
crop_genome/crop_genomechance_iii, #ffc38a
crop_genome/crop_genomegenome_adaptive_i, #f0c5c9
crop_genome/crop_genomegenome_adaptive_ii, #f2bbb9
crop_genome/crop_genomegenome_adaptive_iii, #f4b6b4
crop_genome/crop_genomegenome_resistance_i, #e7cccc
crop_genome/crop_genomegenome_resistance_ii, #e4c8be
crop_genome/crop_genomegenome_resistance_iii, #e3c5b8
crop_genome/crop_genomegrow_speed_i, #b1d3ac
crop_genome/crop_genomegrow_speed_ii, #c3c089
crop_genome/crop_genomegrow_speed_iii, #ffe497
crop_genome/crop_genomelight_i, #ffedca
crop_genome/crop_genomelight_ii, #fffcbc
crop_genome/crop_genomelight_iii, #ffffb6
crop_genome/crop_genomelight_iv, #ffffb4
crop_genome/crop_genomenight_grow, #e3e0f5
crop_genome/crop_genomepest_i, #f8acb4
crop_genome/crop_genomepest_ii, #ff9097
crop_genome/crop_genomepest_iii, #ff868a
crop_genome/crop_genomeradiation_i, #d3cfb2
crop_genome/crop_genomeradiation_ii, #c0cc93
crop_genome/crop_genomeradiation_iii, #b9ca86
crop_genome/crop_genomeseed_i, #c6dab1
crop_genome/crop_genomeseed_ii, #acde91
crop_genome/crop_genomeseed_iii, #a1e083
crop_genome/crop_genomesoil_block, #bfb9a0
crop_genome/crop_genomesoil_i, #cdbcb2
crop_genome/crop_genomesoil_ii, #beae97
crop_genome/crop_genomesoil_iii, #b6a88c
crop_genome/crop_genomesun, #ffffca
crop_genome/crop_genomewater, #abbeff
crop_genome/crop_genomeweather_i, #cfd4ff
crop_genome/crop_genomeweather_ii, #a0a7e1
crop_genome/crop_genomeweed_i, #d6bbbc
crop_genome/crop_genomeweed_ii, #c3a7a2
crop_genome/crop_genomeweed_iii, #bca09a
crop_genome/crop_genomeyield_i, #e1a4d9
crop_genome/crop_genomeyield_ii, #da82d3
crop_genome/crop_genomeyield_iii, #d775d2
crushed/aluminium, #aca4ac
crushed/arsenic, #b5bc97
crushed/barium, #c3bc96
crushed/bismuth, #a0b1b6
crushed/cadmium, #fef5ff
crushed/chromium, #98ae9a
crushed/cobalt, #8dafbc
crushed/copper, #bea490
crushed/gadolinium, #c2ae90
crushed/gallium, #beae97
crushed/germanium, #ab9d90
crushed/gold, #c9bf98
crushed/hafnium, #b1b8bf
crushed/iridium, #c2c2c2
crushed/iron, #c2c2c2
crushed/lead, #b6b8af
crushed/magnesium, #bfb6bc
crushed/manganese, #c2afb5
crushed/mikhail, #a4b9b6
crushed/molybdenum, #afa8c2
crushed/neodymium, #b6acb8
crushed/nickel, #b6b6aa
crushed/niobium, #91a2b2
crushed/osmium, #f5ffff
crushed/palladium, #c9b29b
crushed/platinum, #a1aec3
crushed/polonium, #a0b6c8
crushed/silver, #c0c2c2
crushed/spinel, #b9a0ae
crushed/strontium, #b9a494
crushed/tantalum, #fbfcf1
crushed/thallium, #a8bea0
crushed/tin, #bfbebe
crushed/titanium, #9b9b9d
crushed/uranium, #a5bca0
crushed/vanadium, #a1acaa
crushed/wolfram, #afaeae
crushed/yttrium, #c5a4a4
crushed/zinc, #b8b8b8
crushed/zirconium, #bbaf93
cryogenic_cooling_mixture, #3ddaff
crystal_memory, #fbffff
cultivated_peat, #af8a51
cutter, #ffcf8d
daynight_solar_panel_glass/adm, #e08e9b
daynight_solar_panel_glass/adr, #e8f8ac
daynight_solar_panel_glass/adv, #ebd7a8
