// Compost colors for createfood. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_cheesecake, #ff9b64
orange_gelatin_mix_bucket, #b4a191
paprika, #e03700
pasta, #f4c864
pasta_plate, #d0a751
pasta_plate_butter, #e0b850
pasta_plate_cheese, #e4a837
pasta_plate_cheese_tomato_sauce, #e19b32
pasta_plate_chicken_cut, #cc9651
pasta_plate_chicken_cut_tomato_sauce, #c87a41
pasta_plate_eggplant, #d2a862
pasta_plate_endermite_meatballs, #a57a58
pasta_plate_endermite_meatballs_tomato_sauce, #a56444
pasta_plate_fish, #d79855
pasta_plate_fish_tomato_sauce, #d2844b
pasta_plate_meatballs, #a16c33
pasta_plate_mutton_chop, #c89d52
pasta_plate_pork_meatballs, #a77632
pasta_plate_pork_meatballs_tomato_sauce, #a25e2c
pasta_plate_rabbit_meatballs, #b88347
pasta_plate_rabbit_meatballs_tomato_sauce, #af683c
pasta_plate_slime, #b1aa55
pasta_plate_slimeballs, #a29a4b
pasta_plate_squid_ink, #756576
pasta_plate_strider_meatballs, #a87539
pasta_plate_strider_meatballs_tomato_sauce, #a45f30
pasta_plate_tomato_sauce, #c98340
pastry_bar_base, #ffa836
pastry_base, #ffa834
peanut_butter_apple_jam_sandwich, #c6973c
peanut_butter_chorus_fruit_jam_sandwich, #c28a44
peanut_butter_melon_jam_sandwich, #c58a3c
pink_gelatin_dessert_slice, #ffafe1
pink_gelatin_mix_bucket, #c8a2ae
pita_bread, #fff8a2
pita_dough, #fffcd2
pizza_dough, #ffffd9
pizza_dough_tomato_sauce, #ee947a
pork_meatball, #7f3007
pork_meatball_sandwich, #98681c
pork_meatball_stick_1, #6c3c11
pork_meatball_stick_2, #72330b
pork_meatball_stick_3, #753008
potato_chip_bowl, #a57915
potato_chips, #ffb500
powdered_sugar, #ffffff
pressed_cocoa, #643e2a
pumpernickel_bread, #9e3e07
pumpernickel_bread_slice, #9d300b
pumpernickel_dough, #833722
pumpernickel_toast_slice, #833014
pumpkin_pie_filling_bucket, #ddb589
pumpkin_puree_bucket, #ddb68c
purple_gelatin_dessert_slice, #a83de3
purple_gelatin_mix_bucket, #a598ac
rabbit_cuts, #ffd7c2
rabbit_jerky, #9b4a28
rabbit_meatball, #b96451
rabbit_meatball_sandwich, #a27028
rabbit_meatball_stick_1, #865130
rabbit_meatball_stick_2, #9d573d
rabbit_meatball_stick_3, #a55a44
raw_apple_cheesecake, #fbac84
raw_apple_pie, #ffc891
raw_bacon_calzone, #ffe7b8
raw_bacon_pizza, #ffbb5f
raw_berry_cheesecake, #e69e76
raw_berry_pie, #ffc296
raw_butterscotch_chip_muffin, #ffd079
raw_butterscotch_chips_chocolate_cookie, #be8a54
raw_butterscotch_chips_cookie, #ffd2a0
raw_cake_base, #ffd37f
raw_calzone, #ffe7b8
raw_caramel_chip_muffin, #ffc873
raw_caramel_chips_chocolate_cookie, #a77341
raw_caramel_chips_cookie, #f5bb8d
raw_cheese_calzone, #ffe7b8
raw_cheese_pizza, #ffc962
raw_cheesecake, #fff7b8
raw_chocolate_chip_muffin, #ffc573
raw_chocolate_cookie, #a27547
raw_chocolate_cupcake_base, #b66f3d
raw_chocolate_graham_cracker_pie_crust, #a26e5c
raw_chocolate_pastry_bar_base, #de9657
raw_chocolate_pastry_base, #e09757
raw_chocolate_pie, #fcb984
raw_chocolate_pie_graham_cracker, #e37f40
raw_chocolate_sweet_roll_base, #a47340
raw_chorus_cookie, #f4b8a7
raw_chorus_fruit_cheesecake, #f4a1a4
raw_chorus_fruit_pie, #ffc2ae
raw_cinnamon_sweet_roll_base, #f8895c
raw_cookie, #f1bb93
raw_cream_pie_chocolate_graham_cracker, #e0b9a8
raw_cream_pie_graham_cracker, #ffbe8c
raw_cupcake, #fac29a
raw_dark_chips_chocolate_cookie, #9d7246
raw_dark_chips_cookie, #eab991
raw_dark_chocolate_chip_muffin, #ffc575
raw_endermite_meatball, #905aa4
raw_fish_bacon_pizza, #ffc57a
raw_fish_calzone, #ffe7b8
raw_fish_onion_pizza, #ffe6a2
raw_fish_pizza, #ffcd7d
raw_fishcake, #ffc05b
raw_flesh_cookie, #ffb475
raw_ginger_cookie, #ffc58e
raw_glow_berry_cheesecake, #e6b673
raw_glow_berry_pie, #ffd48d
raw_graham_cracker_pie_crust, #d4722d
raw_green_tea_cookie, #96c898
raw_gyro_meat_block, #b17358
raw_honey_cookie, #fad09b
raw_macaroni, #ffd470
raw_meatball, #7c2923
raw_mini_chocolate_graham_cracker_pie_crust, #a16c5c
raw_mini_chocolate_pie_graham_cracker, #de7339
raw_mini_cream_pie_chocolate_graham_cracker, #ddb6a7
raw_mini_cream_pie_graham_cracker, #ffbc8c
raw_mini_graham_cracker_pie_crust, #dc702c
raw_muffin, #ffcf7c
raw_mushroom_bacon_pizza, #ffc578
raw_mushroom_calzone, #ffe7b8
raw_mushroom_fish_pizza, #ffd28a
raw_mushroom_onion_pizza, #ffe39d
raw_mushroom_pizza, #ffcd82
raw_onion_bacon_pizza, #ffd389
raw_onion_calzone, #ffe7b8
raw_onion_pizza, #ffeea5
raw_pastry_bar_base, #ffbc5a
raw_pastry_base, #ffbc58
raw_pie_crust, #fbc687
raw_pork_meatball, #9e3c0f
raw_pumpkin_pie, #ffd693
raw_rabbit_meatball, #da7969
raw_sausage_bacon_pizza, #ffb55e
raw_sausage_calzone, #ffe7b8
raw_sausage_fish_pizza, #ffc27a
raw_sausage_mushroom_pizza, #ffbf79
raw_sausage_onion_pizza, #ffe09d
raw_sausage_patty, #893722
raw_sausage_pizza, #ffbe61
raw_snickerdoodle, #ffd470
raw_soul_berry_cookie, #ebcf9d
raw_spider_eye_cookie, #ffab84
raw_strider_meatball, #f05a3c
raw_sugar_cookie, #ffae5e
raw_sweet_berry_cookie, #f8be9a
raw_sweet_roll_base, #ffc069
raw_toffee_chip_muffin, #ffc676
raw_toffee_chips_chocolate_cookie, #a27346
raw_toffee_chips_cookie, #f0b991
raw_ube_cake_base, #a791ff
raw_ube_cookie, #8e89c2
raw_white_chips_chocolate_cookie, #b88a55
raw_white_chips_cookie, #ffd0a0
raw_white_chocolate_chip_muffin, #ffcf7c
red_gelatin_dessert_slice, #ff7366
red_gelatin_mix_bucket, #b19897
salt, #ffffff
salt_dough, #fff0bc
salt_dough_small, #fcedb9
sausage_bacon_pizza, #feae33
sausage_bacon_pizza_slice, #eea21e
sausage_biscuit, #83552f
sausage_biscuit_bacon, #a05e3e
sausage_biscuit_cheese_bacon, #bf7537
sausage_biscuit_cheese_fried_egg, #ca984e
sausage_biscuit_cheese_fried_egg_bacon, #bf7d50
sausage_biscuit_fried_egg, #b48954
sausage_biscuit_fried_egg_bacon, #b27352
sausage_biscuit_sandwich, #af8930
sausage_biscuit_sandwich_bacon, #c6913a
sausage_biscuit_sandwich_cheese_bacon, #bc8937
sausage_biscuit_sandwich_cheese_fried_egg, #c69634
sausage_biscuit_sandwich_cheese_fried_egg_bacon, #c8913c
sausage_biscuit_sandwich_fried_egg, #bc9439
sausage_biscuit_sandwich_fried_egg_bacon, #c0943a
sausage_bits, #80442d
sausage_calzone, #dca066
sausage_fish_pizza, #feb44a
sausage_fish_pizza_slice, #f1a529
sausage_meat, #98483c
sausage_mushroom_pizza, #f5ae54
sausage_mushroom_pizza_slice, #eda23a
sausage_onion_pizza, #ffc86b
sausage_onion_pizza_slice, #f7ac3d
sausage_patty, #784733
sausage_pizza, #ffbb33
sausage_pizza_slice, #f7a71e
shredded_beetroot, #93143c
shredded_carrot, #ff9629
shredded_chicken, #fff4dc
shredded_potato, #ffe478
sliced_beetroot, #b11c40
sliced_brown_mushroom, #d3a180
sliced_carrot, #ff8319
sliced_onion, #fff4d2
sliced_potato, #f8c25c
sliced_red_mushroom, #ff7f62
sliced_tomato, #ff6261
slime_bucket, #b8c8b5
small_endermite_meatballs, #76407f
small_meatballs, #6b1204
small_pork_meatballs, #7d3200
small_rabbit_meatballs, #b55e46
small_slimeballs, #75b85c
small_strider_meatballs, #832c16
smoked_corn_stick, #ffb537
smore, #ff7c28
smores_pie, #e48036
smores_pie_slice, #d4763d
sour_cream_bottle, #ffffff
sour_cream_bucket, #eae4d2
spicy_breakfast_sausages, #6b2f2a
spicy_chicken_nuggets, #ff4816
squid_ink_bucket, #978aa2
strider_meatball, #aa391f
strider_meatball_sandwich, #966920
strider_meatball_stick_1, #6f3d19
strider_meatball_stick_2, #763419
strider_meatball_stick_3, #793018
sugar_cane_juice_bucket, #c6be9a
sugar_dough, #ffffd2
sugar_dough_small, #fffeca
sweet_roll_base, #ffab37
toast_fried_egg_plate, #b18440
toast_plate, #9a6915
toast_slice, #d49114
toffee, #aa5534
toffee_bucket, #a78e7f
toffee_chip_chocolate_milkshake_bottle, #e3bcc0
toffee_chip_ice_cream_cone, #ffd49a
toffee_chip_milkshake_bottle, #f5feff
toffee_chip_mini_waffle, #f28c3e
toffee_chip_muffin, #e17007
toffee_chip_waffle, #ff9444
toffee_chips, #823c1b
toffee_chips_chocolate_cookie, #89552d
toffee_chips_cookie, #ffa151
toffee_fudge, #b65c39
toffee_fudge_bucket, #b2937c
tortilla_chip_bowl, #a8833a
ube_cake_base, #7d72cc
ube_cream_frosted_ube_cake, #eeebff
ube_cream_frosting_bottle, #ccc3ff
ube_cream_frosting_bucket, #beb4e1
ube_sugar_dough, #d7bcff
unbreaded_chicken_patty, #ffe1cf
vegetable_oil_bucket, #b8b6a2
vegetable_sandwich_beetroot_lettuce, #b18734
vegetable_sandwich_lettuce_tomato, #bb8d3a
vinegar_bottle, #ffffff
vinegar_bucket, #bbbbb9
waffle, #ff9846
waffle_batter_bucket, #eae3cf
waffle_cone, #ff9440
wheat_dough_small, #fff7bf
white_chips_chocolate_cookie, #966b3c
white_chips_cookie, #ffb55e
white_chocolate_bottle, #ffffff
white_chocolate_bucket, #d6c6ae
white_chocolate_chip_chocolate_milkshake_bottle, #f0cac9
white_chocolate_chip_ice_cream_cone, #ffdea1
white_chocolate_chip_milkshake_bottle, #ffffff
white_chocolate_chip_mini_waffle, #ff9e4a
white_chocolate_chip_muffin, #e7790c
white_chocolate_chip_waffle, #ff9d4a
white_chocolate_chips, #fff1a8
white_chocolate_chocolate_pastry, #b2732a
white_chocolate_covered_marshmallow_stick, #dab983
white_chocolate_fudge, #ffe1b5
white_chocolate_fudge_bucket, #d7cab5
white_chocolate_glazed_apple, #f09d6b
white_chocolate_glazed_berries, #fbd39a
white_chocolate_pastry, #ffac3d
white_chocolate_toast, #eac27a
yellow_gelatin_dessert_slice, #ffff32
yellow_gelatin_mix_bucket, #c9bf91
yogurt_bottle, #ffffff
yogurt_bucket, #d0c5b9
